gene_name	drug_name	interaction_types
MAP2K5	1,4-BUTANEDIOL	inhibitor
MAPK7	1,4-BUTANEDIOL	inhibitor
NOS2	1400W	inhibitor
TRPA1	1'-ACETOXYCHAVICOL ACETATE	activator
HLA-DRB3	1D09C3	
HLA-DRB4	1D09C3	
HLA-DRB5	1D09C3	
P2RY1	2',3'-DIDEOXYADENOSINE TRIPHOSPHATE	agonist
NR1H2	22(R)-HYDROXYCHOLESTEROL	agonist
NR1H3	22(R)-HYDROXYCHOLESTEROL	agonist
NR1H4	22(R)-HYDROXYCHOLESTEROL	agonist
NR1H2	24(S),25-EPOXYCHOLESTEROL	agonist
NR1H3	24(S),25-EPOXYCHOLESTEROL	agonist
KRAS	2-ACETYL FURANONAPTHOQUINONE	
ANXA2P3	2-AMINO-1-METHYL-6- PHENYLIMIDAZO[4,5- B]PYRIDINE	antagonist
GPR55	2-ARACHIDONOYLGLYCEROL	agonist
MAP3K5	2-ETHOXYETHANOL	inhibitor
ATF2	2-METHOXYESTRADIOL	
CTGF	2-METHOXYESTRADIOL	
MAPK14	2-METHOXYESTRADIOL	
MAPK8	2-METHOXYESTRADIOL	
PTEN	2-METHOXYESTRADIOL	
TUBB1	2-METHOXYESTRADIOL	binder
HRH4	2-METHYLHISTAMINE	agonist
GRIK1	2S,4R-4-METHYLGLUTAMATE	agonist
GRIK2	2S,4R-4-METHYLGLUTAMATE	agonist
GRIK4	2S,4R-4-METHYLGLUTAMATE	agonist
SLC1A2	2S,4R-4-METHYLGLUTAMATE	inhibitor
HCAR1	3,5-DIHYDROXYBENZOIC ACID	agonist
HMGCS1	3-HYDROXY-3-METHYLGLUTARYL-COENZYME A	inhibitor
DDC	3-HYDROXYBENZYLHYDRAZINE DIHYDROCHLORIDE	inhibitor
CHRM1	4-DAMP	antagonist
CHRM2	4-DAMP	antagonist
CHRM3	4-DAMP	antagonist
CHRM4	4-DAMP	antagonist
CHRM5	4-DAMP	antagonist
MYC	4'-HYDROXYTAMOXIFEN	
HRH4	4-METHYLHISTAMINE	agonist
AURKB	4SC-203	inhibitor
FLT1	4SC-203	inhibitor
FLT3	4SC-203	inhibitor
FLT4	4SC-203	inhibitor
KDR	4SC-203	inhibitor
KDR	4SC-203	inhibitor
ADRA2A	5-(N-ETHYL-N-ISOPROPYL)AMILORIDE	allosteric modulator
ASIC1	5-(N-ETHYL-N-ISOPROPYL)AMILORIDE	channel blocker
PKD2L1	5-(N-ETHYL-N-ISOPROPYL)AMILORIDE	channel blocker
TRPM8	5-BENZYLOXYTRYPTAMINE	channel blocker
HTR1E	5-MEO-DMT	agonist
HTR1F	5-MEO-DMT	agonist
HTR2C	5-MEO-DMT	agonist
HTR1B	5-METHOXYTRYPTAMINE	agonist
HTR1D	5-METHOXYTRYPTAMINE	agonist
HTR1E	5-METHOXYTRYPTAMINE	agonist
HTR1F	5-METHOXYTRYPTAMINE	agonist
HTR2A	5-METHOXYTRYPTAMINE	agonist
HTR2C	5-METHOXYTRYPTAMINE	agonist
HTR6	5-METHOXYTRYPTAMINE	agonist
NAT1	5-METHOXYTRYPTAMINE	agonist
SERPINA3	5-METHOXYTRYPTAMINE	agonist
CHRM1	5-METHYLFURMETHIODIDE	agonist
CHRM2	5-METHYLFURMETHIODIDE	agonist
CHRM3	5-METHYLFURMETHIODIDE	agonist
CHRM4	5-METHYLFURMETHIODIDE	agonist
ANO1	5-NITRO-2-PHENYLPROPYLAMINOBENZOIC ACID [NPPB]	channel blocker
CLCN7	5-NITRO-2-PHENYLPROPYLAMINOBENZOIC ACID [NPPB]	channel blocker
TRPA1	5-NITRO-2-PHENYLPROPYLAMINOBENZOIC ACID [NPPB]	activator
OXER1	5-OXO-ETE	agonist
OXER1	5-OXO-ETE	agonist
ACHE	6-AMINONICOTINAMIDE	
GPI	6-AMINONICOTINAMIDE	
MT1H	6-AMINONICOTINAMIDE	
TRH	6-AMINONICOTINAMIDE	
DDIT3	6-DIAZO-5-OXO-L-NORLEUCINE	
GLS	6-DIAZO-5-OXO-L-NORLEUCINE	
HSPA4	6-DIAZO-5-OXO-L-NORLEUCINE	
CYP1A2	6-O-BENZYLGUANINE	
CYP2B6	6-O-BENZYLGUANINE	
TOP1	7-ETHYL-10-HYDROXY-CAMPTOTHECIN	
TOP1MT	7-ETHYL-10-HYDROXY-CAMPTOTHECIN	
NOS1	7-NITROINDAZOLE	inhibitor
TNC	81C6	
ACHE	8-AZAGUANINE	
GDA	8-AZAGUANINE	
PLK1	8-AZAGUANINE	inhibitor
ADORA1	8-CYCLOPENTYLTHEOPHYLLINE	antagonist
HTR1A	8-OH-DPAT	agonist
HTR1A	8-OH-DPAT	agonist
HTR1B	8-OH-DPAT	agonist
HTR1B	8-OH-DPAT	agonist
HTR1D	8-OH-DPAT	agonist
HTR1D	8-OH-DPAT	agonist
HTR1E	8-OH-DPAT	agonist
HTR1F	8-OH-DPAT	agonist
HTR2A	8-OH-DPAT	agonist
HTR2B	8-OH-DPAT	agonist
HTR2C	8-OH-DPAT	agonist
HTR5A	8-OH-DPAT	agonist
SERPINA3	8-OH-DPAT	agonist
ADRA1A	A-119637	antagonist
ADRA1B	A-119637	antagonist
ADRA1A	A-123189	antagonist
ADRA1B	A-123189	antagonist
EDNRB	A-192621	antagonist
ITGB2	A-286982	inhibitor
HRH1	A-349,821	antagonist
AKT1	A-443654	inhibitor
AKT2	A-443654	inhibitor
AKT3	A-443654	inhibitor
CDC42BPB	A-443654	inhibitor
KRAS	A-443654	
PHKG1	A-443654	inhibitor
PIK3CA	A-443654	
HLA-B	ABACAVIR	
TBXA2R	ABACAVIR	agonist
MUC16	ABAGOVOMAB	
MUC16	ABAGOVOMAB	
DRD2	ABAPERIDONE (CHEMBL151475)	antagonist
HTR1A	ABAPERIDONE (CHEMBL151475)	antagonist
HTR2A	ABAPERIDONE (CHEMBL151475)	antagonist
GNRH1	ABARELIX	inhibitor
GNRHR	ABARELIX	
GNRHR	ABARELIX	
GNRHR	ABARELIX	antagonist
GNRHR	ABARELIX	antagonist
KLK3	ABARELIX	
CD80	ABATACEPT	binder
CD80	ABATACEPT	
CD80	ABATACEPT	inhibitor
CD80	ABATACEPT	
CD80	ABATACEPT	inhibitor
CD80	ABATACEPT	
CD86	ABATACEPT	inhibitor
CD86	ABATACEPT	inhibitor
CD86	ABATACEPT	
CD86	ABATACEPT	
CD86	ABATACEPT	
CD86	ABATACEPT	binder
ITGA2	ABCIXIMAB	antibody
ITGA2B	ABCIXIMAB	
ITGA2B	ABCIXIMAB	inhibitor
ITGA2B	ABCIXIMAB	
ITGAV	ABCIXIMAB	inhibitor
ITGB3	ABCIXIMAB	inhibitor
ITGB3	ABCIXIMAB	
ITGB3	ABCIXIMAB	
ADRB2	ABEDITEROL	
ADRB2	ABEDITEROL	agonist
ADRB2	ABEDITEROL	agonist
ADRB3	ABEDITEROL	agonist
CCND1	ABEMACICLIB	
CCND2	ABEMACICLIB	
CCND3	ABEMACICLIB	
CDK4	ABEMACICLIB	
CDK4	ABEMACICLIB	
CDK4	ABEMACICLIB	inhibitor
CDK4	ABEMACICLIB	inhibitor
CDK4	ABEMACICLIB	inhibitor
CDK4	ABEMACICLIB	
CDK6	ABEMACICLIB	
CDK6	ABEMACICLIB	inhibitor
CDK6	ABEMACICLIB	inhibitor
CDK6	ABEMACICLIB	inhibitor
CDKN2A	ABEMACICLIB	
CDKN2A	ABEMACICLIB	
ERBB2	ABEMACICLIB	
ESR1	ABEMACICLIB	
KRAS	ABEMACICLIB	
KRAS	ABEMACICLIB	
KRAS	ABEMACICLIB	
KRAS	ABEMACICLIB	
NRAS	ABEMACICLIB	
TP53	ABEMACICLIB	
TP53	ABEMACICLIB	
HDAC1	ABEXINOSTAT	
HDAC1	ABEXINOSTAT	inhibitor
HDAC1	ABEXINOSTAT	inhibitor
HDAC10	ABEXINOSTAT	inhibitor
HDAC10	ABEXINOSTAT	
HDAC2	ABEXINOSTAT	
HDAC2	ABEXINOSTAT	inhibitor
HDAC3	ABEXINOSTAT	
HDAC3	ABEXINOSTAT	inhibitor
HDAC3	ABEXINOSTAT	inhibitor
HDAC4	ABEXINOSTAT	inhibitor
HDAC5	ABEXINOSTAT	inhibitor
HDAC6	ABEXINOSTAT	inhibitor
HDAC6	ABEXINOSTAT	
HDAC7	ABEXINOSTAT	inhibitor
HDAC8	ABEXINOSTAT	inhibitor
HDAC9	ABEXINOSTAT	inhibitor
AR	ABIRATERONE	
AR	ABIRATERONE	
CYP17A1	ABIRATERONE	inhibitor
CYP17A1	ABIRATERONE	
CYP17A1	ABIRATERONE	
PTEN	ABIRATERONE	
CYP17A1	ABIRATERONE ACETATE	inhibitor
CYP17A1	ABIRATERONE ACETATE	inhibitor
ABL1	ABL-001	inhibitor
SNAP25	ABOBOTULINUMTOXINA	inhibitor
TRPV1	ABT-102	antagonist
TRPV1	ABT-102	blocker
CHRNA7	ABT-107	agonist
CHRNA7	ABT-126	agonist
HRH3	ABT-288	antagonist
CHRNA4	ABT-560	modulator
CHRNB2	ABT-560	modulator
MET	ABT-700	
MET	ABT-700	inhibitor
CXCL8	ABX-IL8	inhibitor
JAK2	AC-430	
JAK2	AC-430	inhibitor
EGFR	AC-480	inhibitor
EGFR	AC-480	inhibitor
EGFR	AC-480	
EGFR	AC-480	inhibitor
EGFR	AC-480	inhibitor
EGFR	AC-480	inhibitor
EGFR	AC-480	
ERBB2	AC-480	inhibitor
ERBB2	AC-480	
ERBB2	AC-480	inhibitor
ERBB2	AC-480	inhibitor
ERBB2	AC-480	inhibitor
ERBB2	AC-480	inhibitor
ERBB2	AC-480	
ERBB3	AC-480	
ERBB4	AC-480	
ERBB4	AC-480	inhibitor
ERBB4	AC-480	inhibitor
ERBB4	AC-480	inhibitor
ERBB4	AC-480	inhibitor
BLK	ACALABRUTINIB	inhibitor
BMX	ACALABRUTINIB	inhibitor
BTK	ACALABRUTINIB	inhibitor
EGFR	ACALABRUTINIB	inhibitor
ERBB2	ACALABRUTINIB	inhibitor
ERBB4	ACALABRUTINIB	inhibitor
FYN	ACALABRUTINIB	inhibitor
ITK	ACALABRUTINIB	inhibitor
JAK3	ACALABRUTINIB	inhibitor
LCK	ACALABRUTINIB	inhibitor
LYN	ACALABRUTINIB	inhibitor
SRC	ACALABRUTINIB	inhibitor
TEC	ACALABRUTINIB	inhibitor
TXK	ACALABRUTINIB	inhibitor
PIK3CA	Acalisib	
PIK3CD	Acalisib	inhibitor
PTEN	Acalisib	
GRIN3A	ACAMPROSATE	
GRM5	ACAMPROSATE	
GABRA1	ACAMPROSATE CALCIUM	
GABRA2	ACAMPROSATE CALCIUM	
GABRA3	ACAMPROSATE CALCIUM	
GABRA4	ACAMPROSATE CALCIUM	
GABRA5	ACAMPROSATE CALCIUM	
GABRA6	ACAMPROSATE CALCIUM	
GABRB1	ACAMPROSATE CALCIUM	
GABRB2	ACAMPROSATE CALCIUM	
GABRB3	ACAMPROSATE CALCIUM	
GABRD	ACAMPROSATE CALCIUM	
GABRE	ACAMPROSATE CALCIUM	
GABRG1	ACAMPROSATE CALCIUM	
GABRG2	ACAMPROSATE CALCIUM	
GABRG3	ACAMPROSATE CALCIUM	
GABRP	ACAMPROSATE CALCIUM	
GABRQ	ACAMPROSATE CALCIUM	
GRIN1	ACAMPROSATE CALCIUM	antagonist
GRIN2A	ACAMPROSATE CALCIUM	antagonist
GRIN2B	ACAMPROSATE CALCIUM	antagonist
GRIN2C	ACAMPROSATE CALCIUM	antagonist
GRIN2D	ACAMPROSATE CALCIUM	antagonist
GRIN3A	ACAMPROSATE CALCIUM	antagonist
GRIN3B	ACAMPROSATE CALCIUM	antagonist
AMY2A	ACARBOSE	
AMY2A	ACARBOSE	
AMY2A	ACARBOSE	inhibitor
DRD2	ACARBOSE	antagonist
GAA	ACARBOSE	
GAA	ACARBOSE	
GAA	ACARBOSE	inhibitor
LPL	ACARBOSE	
MGA	ACARBOSE	inhibitor
MGAM	ACARBOSE	
MGAM	ACARBOSE	inhibitor
MGAM	ACARBOSE	
SI	ACARBOSE	
SI	ACARBOSE	
SLC2A4	ACARBOSE	
ADRB1	ACEBUTOLOL	
ADRB1	ACEBUTOLOL	
ADRB1	ACEBUTOLOL	antagonist
P2RX7	ACEBUTOLOL	allosteric modulator
TG	ACEBUTOLOL	
ADRB1	ACEBUTOLOL HYDROCHLORIDE	antagonist
VKORC1	ACENOCOUMAROL	inhibitor
VKORC1	ACENOCOUMAROL	
VKORC1	ACENOCOUMAROL	
DRD1	ACEPROMAZINE	agonist
DRD5	ACEPROMAZINE	agonist
HRH1	ACEPROMETAZINE	
HRH1	ACEPROMETAZINE	
HRH1	ACEPROMETAZINE	antagonist
TRPA1	ACETALDEHYDE	activator
HTR2A	ACETAMIDE	antagonist
CCND1	ACETAMINOPHEN	
CDK2	ACETAMINOPHEN	
CDKN1A	ACETAMINOPHEN	
CPT2	ACETAMINOPHEN	inhibitor
CXCL8	ACETAMINOPHEN	
CYP7B1	ACETAMINOPHEN	
FAAH	ACETAMINOPHEN	inhibitor
FAAH	ACETAMINOPHEN	
HSPA8	ACETAMINOPHEN	
HTR4	ACETAMINOPHEN	
IL2	ACETAMINOPHEN	
MARK2	ACETAMINOPHEN	
MT2A	ACETAMINOPHEN	
NQO1	ACETAMINOPHEN	
PTGS1	ACETAMINOPHEN	inhibitor
PTGS1	ACETAMINOPHEN	inhibitor
PTGS1	ACETAMINOPHEN	
PTGS1	ACETAMINOPHEN	
PTGS2	ACETAMINOPHEN	
PTGS2	ACETAMINOPHEN	inhibitor
PTGS2	ACETAMINOPHEN	
TBXA2R	ACETAMINOPHEN	antagonist
TRPV1	ACETAMINOPHEN	
UGT1A4	ACETAMINOPHEN	
AQP1	ACETAZOLAMIDE	
CA1	ACETAZOLAMIDE	
CA1	ACETAZOLAMIDE	inhibitor
CA1	ACETAZOLAMIDE	
CA1	ACETAZOLAMIDE	inhibitor
CA12	ACETAZOLAMIDE	
CA12	ACETAZOLAMIDE	
CA12	ACETAZOLAMIDE	inhibitor
CA12	ACETAZOLAMIDE	inhibitor
CA14	ACETAZOLAMIDE	inhibitor
CA2	ACETAZOLAMIDE	
CA2	ACETAZOLAMIDE	
CA2	ACETAZOLAMIDE	inhibitor
CA3	ACETAZOLAMIDE	
CA4	ACETAZOLAMIDE	inhibitor
CA4	ACETAZOLAMIDE	inhibitor
CA7	ACETAZOLAMIDE	inhibitor
NOS1	ACETAZOLAMIDE	
CA1	ACETAZOLAMIDE SODIUM	inhibitor
CA12	ACETAZOLAMIDE SODIUM	inhibitor
CA2	ACETAZOLAMIDE SODIUM	inhibitor
CA4	ACETAZOLAMIDE SODIUM	inhibitor
ADARB2	ACETIC ACID	agonist
FFAR2	ACETIC ACID	agonist
HTR2A	ACETIC ACID	antagonist
HTR2B	ACETIC ACID	antagonist
HTR2C	ACETIC ACID	antagonist
ABCC8	ACETOHEXAMIDE	blocker
KCNJ1	ACETOHEXAMIDE	
KCNJ1	ACETOHEXAMIDE	
KCNJ10	ACETOHEXAMIDE	binder
KCNJ11	ACETOHEXAMIDE	blocker
TLR7	ACETOHEXAMIDE	agonist
RXFP1	ACETOHYDROXAMIC ACID	agonist
RXFP2	ACETOHYDROXAMIC ACID	agonist
RXFP3	ACETOHYDROXAMIC ACID	agonist
RXFP4	ACETOHYDROXAMIC ACID	agonist
HTR2A	ACETONE	antagonist
DRD1	ACETOPHENAZINE	
DRD1	ACETOPHENAZINE	
DRD2	ACETOPHENAZINE	
DRD2	ACETOPHENAZINE	antagonist
DRD2	ACETOPHENAZINE	
DRD2	ACETOPHENAZINE MALEATE	antagonist
CHRM1	ACETYLCHOLINE	agonist
CHRM2	ACETYLCHOLINE	agonist
CHRM2	ACETYLCHOLINE	agonist
CHRM3	ACETYLCHOLINE	agonist
CHRM4	ACETYLCHOLINE	agonist
CHRM4	ACETYLCHOLINE	agonist
CHRM5	ACETYLCHOLINE	agonist
CHRM3	ACETYLCHOLINE CHLORIDE	agonist
ACO1	ACETYLCYSTEINE	
CXCR2	ACETYLCYSTEINE	
E2F1	ACETYLCYSTEINE	
H2AFX	ACETYLCYSTEINE	
IGF1R	ACETYLCYSTEINE	
LDLR	ACETYLCYSTEINE	
MT1E	ACETYLCYSTEINE	
NR4A1	ACETYLCYSTEINE	
NTRK1	ACETYLCYSTEINE	
SFTPA1	ACETYLCYSTEINE	
SLC2A4	ACETYLCYSTEINE	
SLC6A3	ACETYLCYSTEINE	
VWF	ACETYLCYSTEINE	
ATP1A1	ACETYLDIGITOXIN	
ATP1A1	ACETYLDIGITOXIN	
ATP1A1	ACETYLDIGITOXIN	inhibitor
ATP1A1	ACETYLDIGITOXIN	inhibitor
ATP1A2	ACETYLDIGITOXIN	inhibitor
ATP1A3	ACETYLDIGITOXIN	inhibitor
ATP1A4	ACETYLDIGITOXIN	inhibitor
ATP1B1	ACETYLDIGITOXIN	inhibitor
ATP1B2	ACETYLDIGITOXIN	inhibitor
ATP1B3	ACETYLDIGITOXIN	inhibitor
FXYD2	ACETYLDIGITOXIN	inhibitor
HCAR2	ACIFRAN	agonist
HCAR2	ACIPIMOX	agonist
IL1B	ACITRETIN	
IL1B	ACITRETIN	
RARA	ACITRETIN	
RARA	ACITRETIN	
RARA	ACITRETIN	agonist
RARB	ACITRETIN	agonist
RARG	ACITRETIN	agonist
RXRA	ACITRETIN	agonist
RXRB	ACITRETIN	agonist
RXRG	ACITRETIN	agonist
STAT3	ACITRETIN	inhibitor
MYC	ACIVICIN	
TGM2	ACIVICIN	
CSF2	ACLARUBICIN	
SMN1	ACLARUBICIN	
TOP2B	ACLARUBICIN	inhibitor
CHRM1	ACLIDINIUM	antagonist
CHRM1	ACLIDINIUM	
CHRM2	ACLIDINIUM	antagonist
CHRM2	ACLIDINIUM	
CHRM3	ACLIDINIUM	antagonist
CHRM3	ACLIDINIUM	
CHRM4	ACLIDINIUM	
CHRM5	ACLIDINIUM	
CHRM3	ACLIDINIUM BROMIDE	antagonist
CHRM3	ACLIDINIUM BROMIDE	antagonist
ESR1	ACOLBIFENE	modulator
ESR2	ACOLBIFENE	modulator
SCN5A	ACONITINE	activator
ACHE	ACOTIAMIDE	
CTGF	ACRIDINE	
HRH1	ACRIVASTINE	antagonist
HRH1	ACRIVASTINE	antagonist
TRPA1	ACROLEIN	activator
MAPK14	Acumapimod	inhibitor
MAPK14	Acumapimod	inhibitor
ABL1	ACYCLOVIR	
DNTT	ACYCLOVIR	
IL10	ACYCLOVIR	
SLC15A1	ACYCLOVIR	
TNF	ADALIMUMAB	
TNF	ADALIMUMAB	inhibitor
TNF	ADALIMUMAB	
TNF	ADALIMUMAB	antibody
BDNF	ADAPALENE	
RARA	ADAPALENE	agonist
RARA	ADAPALENE	
RARA	ADAPALENE	agonist
RARA	ADAPALENE	
RARB	ADAPALENE	
RARB	ADAPALENE	
RARB	ADAPALENE	agonist
RARG	ADAPALENE	agonist
RARG	ADAPALENE	
RARG	ADAPALENE	
RXRA	ADAPALENE	
RXRA	ADAPALENE	
RXRB	ADAPALENE	
RXRB	ADAPALENE	
RXRG	ADAPALENE	
RXRG	ADAPALENE	
HTR1A	ADATANSERIN	agonist
HTR2A	ADATANSERIN	antagonist
PTGDR2	ADC3680	antagonist
EPCAM	ADECATUMUMAB	
EPCAM	ADECATUMUMAB	inhibitor
ABCC4	ADEFOVIR	
ITPR2	ADENOPHOSTIN A	activator
ADORA1	ADENOSINE	agonist
ADORA1	ADENOSINE	agonist
ADORA2A	ADENOSINE	agonist
ADORA2A	ADENOSINE	agonist
ADORA2B	ADENOSINE	agonist
ADORA2B	ADENOSINE	agonist
ADORA3	ADENOSINE	agonist
ADORA3	ADENOSINE	agonist
ADORA3	ADENOSINE	agonist
PI4K2A	ADENOSINE	inhibitor
PI4K2B	ADENOSINE	inhibitor
TRPM4	ADENOSINE	channel blocker
P2RY1	ADENOSINE DIPHOSPHATE	agonist
P2RY12	ADENOSINE DIPHOSPHATE	agonist
P2RY13	ADENOSINE DIPHOSPHATE	agonist
P2RY6	ADENOSINE DIPHOSPHATE	agonist
TRPM4	ADENOSINE DIPHOSPHATE	gating inhibitor
TRPM2	ADENOSINE DIPHOSPHATE RIBOSE	activator
ADCY1	ADENOSINE PHOSPHATE	binder
GALR1	ADENOSINE PHOSPHATE	agonist
GALR2	ADENOSINE PHOSPHATE	agonist
GALR3	ADENOSINE PHOSPHATE	agonist
ABL2	ADENOSINE TRIPHOSPHATE	inhibitor
GPR17	ADENOSINE TRIPHOSPHATE	agonist
P2RX1	ADENOSINE TRIPHOSPHATE	agonist
P2RX7	ADENOSINE TRIPHOSPHATE	agonist
P2RY1	ADENOSINE TRIPHOSPHATE	agonist,antagonist
P2RY11	ADENOSINE TRIPHOSPHATE	agonist
P2RY13	ADENOSINE TRIPHOSPHATE	agonist
P2RY2	ADENOSINE TRIPHOSPHATE	agonist
P2RY4	ADENOSINE TRIPHOSPHATE	agonist,antagonist
RYR1	ADENOSINE TRIPHOSPHATE	activator
RYR2	ADENOSINE TRIPHOSPHATE	activator
RYR3	ADENOSINE TRIPHOSPHATE	activator
TRPM4	ADENOSINE TRIPHOSPHATE	channel blocker,gating inhibitor
TRPM7	ADENOSINE TRIPHOSPHATE	activator
ADAM10	ADERBASIB	
ADAM17	ADERBASIB	
GABRA1	ADINAZOLAM	
GABRA1	ADINAZOLAM	
GABRA2	ADINAZOLAM	
GABRA2	ADINAZOLAM	
GABRA3	ADINAZOLAM	
GABRA3	ADINAZOLAM	
GABRA5	ADINAZOLAM	
GABRA5	ADINAZOLAM	
GABRB1	ADINAZOLAM	
GABRB1	ADINAZOLAM	
GABRB1	ADINAZOLAM	
GABRB2	ADINAZOLAM	
GABRB2	ADINAZOLAM	
GABRB3	ADINAZOLAM	
GABRB3	ADINAZOLAM	
GABRD	ADINAZOLAM	
GABRD	ADINAZOLAM	
GABRE	ADINAZOLAM	
GABRE	ADINAZOLAM	
GABRG1	ADINAZOLAM	
GABRG1	ADINAZOLAM	
GABRG2	ADINAZOLAM	
GABRG3	ADINAZOLAM	
GABRG3	ADINAZOLAM	
GABRP	ADINAZOLAM	
GABRP	ADINAZOLAM	
GABRR1	ADINAZOLAM	
GABRR1	ADINAZOLAM	
GABRR2	ADINAZOLAM	
GABRR2	ADINAZOLAM	
GABRR3	ADINAZOLAM	
GABRR3	ADINAZOLAM	
TSPO	ADINAZOLAM	agonist
GABRA1	ADIPIPLON	
GABRA1	ADIPIPLON	partial agonist
GABRA2	ADIPIPLON	
GABRA2	ADIPIPLON	partial agonist
GABRA3	ADIPIPLON	partial agonist
GABRA3	ADIPIPLON	
GABRA4	ADIPIPLON	partial agonist
GABRA4	ADIPIPLON	
GABRA5	ADIPIPLON	partial agonist
GABRA5	ADIPIPLON	
GABRA6	ADIPIPLON	
GABRA6	ADIPIPLON	partial agonist
GABRB1	ADIPIPLON	
GABRB1	ADIPIPLON	
GABRB2	ADIPIPLON	
GABRB3	ADIPIPLON	
GABRD	ADIPIPLON	
GABRE	ADIPIPLON	
GABRG1	ADIPIPLON	partial agonist
GABRG1	ADIPIPLON	
GABRG2	ADIPIPLON	partial agonist
GABRG3	ADIPIPLON	partial agonist
GABRG3	ADIPIPLON	
GABRP	ADIPIPLON	
GABRQ	ADIPIPLON	
GABRR1	ADIPIPLON	
GABRR2	ADIPIPLON	
GABRR3	ADIPIPLON	
GCGR	ADOMEGLIVANT	antagonist
MYC	ADOZELESIN	
APP	ADUCANUMAB	
EGFR	AEE-788	
EGFR	AEE-788	inhibitor
EGFR	AEE-788	
EGFR	AEE-788	inhibitor
EGFR	AEE-788	inhibitor
ERBB2	AEE-788	
ERBB2	AEE-788	inhibitor
ERBB2	AEE-788	inhibitor
ERBB2	AEE-788	inhibitor
ERBB4	AEE-788	inhibitor
FGFR2	AEE-788	inhibitor
FGFR3	AEE-788	inhibitor
FLT1	AEE-788	inhibitor
KDR	AEE-788	inhibitor
KDR	AEE-788	inhibitor
KDR	AEE-788	inhibitor
BRAF	AEW-541	
IGF1R	AEW-541	inhibitor
IGF1R	AEW-541	inhibitor
IGF1R	AEW-541	inhibitor
PIK3CA	AEW-541	
PTEN	AEW-541	
P2RX3	AF-219	antagonist
